Crowley,tube_Tlow_0.5K,2022
T,k,koT
0.51126,0.004203874,0.008222575597543323
0.51332,0.004047399,0.007884748305150784
0.51632,0.003890905,0.0075358401766346455
0.539,0.003529166,0.006547617810760667
0.57311,0.00391095,0.006824082636841095
0.61801,0.004159573,0.006730591737997767
0.66779,0.004823721,0.007223410054058911
0.72463,0.005163356,0.00712550681037219
0.78471,0.00577306,0.007356934408889908
0.84692,0.006433142,0.007595926415718132
0.9127,0.006895249,0.007554781417771448
0.97466,0.008181566,0.008394276978638704
