Crowley,tube_Tlow_0.25K,2022
T,k,koT
0.26382,0.001381936,0.005238177545296035
0.26997,0.001355714,0.005021720931955403
0.27884,0.001315977,0.0047194699469229676
0.32527,0.001723918,0.005299960033203185
0.38857,0.002107464,0.005423640528090176
0.45844,0.002673033,0.005830715033592182
0.53399,0.003178356,0.005952088990430532
0.60663,0.004040269,0.006660186604684899
0.68028,0.004709375,0.006922700946669019
0.75499,0.00535679,0.00709518006861018
0.83183,0.005902778,0.007096135027589772
0.9043,0.00699503,0.007735298020568396
0.97599,0.007815457,0.00800772241518868
